v,e,algoType,runtime
503,1518,1,158
503,2002,0,435
503,2002,1,302
503,2640,0,882
503,2640,1,249
503,3481,0,444
503,3481,1,899
503,4590,0,555
503,4590,1,565
503,6052,0,487
503,6052,1,1956
503,7979,0,484
503,7979,1,2902
503,10520,0,553
503,10520,1,3582
503,13869,0,604
503,13869,1,5441
503,18285,0,1058
503,18285,1,7898
503,24106,0,675
503,24106,1,10792
503,31780,0,793
503,31780,1,14607
503,41897,0,884
503,41897,1,20194
503,55235,0,1065
503,55235,1,28600
503,72819,0,1012
503,72819,1,37763
503,96001,0,822
503,96001,1,50216
503,126253,0,611
503,126253,1,68331
603,602,0,1357
603,602,1,11
603,602,0,1373
603,602,1,8
603,801,0,745
603,801,1,15
603,1066,0,1383
603,1066,1,20
603,1419,0,748
603,1419,1,79
603,1888,0,702
603,1888,1,185
603,2512,0,1249
603,2512,1,144
603,3342,0,658
603,3342,1,879
603,4447,0,750
603,4447,1,1382
603,5917,0,859
603,5917,1,1948
603,7872,0,647
603,7872,1,2594
603,10473,0,681
603,10473,1,3510
603,13933,0,733
603,13933,1,5411
603,18536,0,814
603,18536,1,7741
603,24660,0,880
603,24660,1,10936
603,32807,0,900
603,32807,1,15277
603,43645,0,1178
603,43645,1,20457
603,58063,0,1259
603,58063,1,28140
603,77244,0,1413
603,77244,1,39151
603,102762,0,1491
603,102762,1,54529
603,136709,0,1198
603,136709,1,73435
603,181503,0,919
603,181503,1,99192
703,702,0,1825
703,702,1,16
703,702,0,1825
703,702,1,16
703,942,0,989
703,942,1,12
703,1263,0,1753
703,1263,1,29
703,1694,0,1725
703,1694,1,161
703,2271,0,958
703,2271,1,159
703,3045,0,852
703,3045,1,249
703,4083,0,972
703,4083,1,647
703,5474,0,1031
703,5474,1,1313
703,7339,0,888
703,7339,1,2122
703,9839,0,1725
703,9839,1,3860
703,13191,0,1008
703,13191,1,4794
703,17684,0,1030
703,17684,1,6690
703,23708,0,1411
703,23708,1,10352
703,31783,0,1185
703,31783,1,14240
703,42609,0,1191
703,42609,1,19202
703,57122,0,1462
703,57122,1,28001
703,76578,0,1632
703,76578,1,38194
703,102660,0,2019
703,102660,1,52308
703,137626,0,2162
703,137626,1,75095
703,184501,0,1685
703,184501,1,104290
703,246753,0,1282
703,246753,1,145938
803,802,0,1382
803,802,1,17
803,802,0,1257
803,802,1,5
803,1083,0,2320
803,1083,1,10
803,1462,0,1239
803,1462,1,21
803,1974,0,1954
803,1974,1,97
803,2664,0,1214
803,2664,1,236
803,3596,0,1173
803,3596,1,497
803,4853,0,1266
803,4853,1,532
803,6550,0,1214
803,6550,1,2071
803,8840,0,1147
803,8840,1,2644
803,11930,0,1182
803,11930,1,4344
803,16100,0,1290
803,16100,1,5214
803,21728,0,1232
803,21728,1,8585
803,29323,0,1317
803,29323,1,13261
803,39573,0,1513
803,39573,1,17069
803,53406,0,1656
803,53406,1,24736
803,72074,0,1765
803,72074,1,36807
803,97267,0,2265
803,97267,1,51428
803,131266,0,2627
803,131266,1,72627
803,177149,0,2688
803,177149,1,98763
803,239069,0,2422
803,239069,1,140851
803,322003,0,1693
803,322003,1,203818
903,902,0,2941
903,902,1,9
903,902,0,1594
903,902,1,15
903,1225,0,1903
903,1225,1,29
903,1663,0,1446
903,1663,1,45
903,2258,0,1403
903,2258,1,61
903,3066,0,1536
903,3066,1,221
903,4163,0,1549
903,4163,1,441
903,5652,0,1417
903,5652,1,564
903,7673,0,1473
903,7673,1,1625
903,10416,0,1542
903,10416,1,2888
903,14140,0,1568
903,14140,1,4154
903,19195,0,1545
903,19195,1,6557
903,26057,0,1701
903,26057,1,10654
903,35372,0,2098
903,35372,1,16699
903,48017,0,1772
903,48017,1,22956
903,65183,0,2035
903,65183,1,32199
903,88485,0,2235
903,88485,1,45150
903,120117,0,2598
903,120117,1,66328
903,163057,0,3116
903,163057,1,87026
903,221347,0,3371
903,221347,1,137843
903,300474,0,2827
903,300474,1,184981
903,407253,0,2080
903,407253,1,264894
1003,1002,0,3609
1003,1002,1,9
1003,1002,0,1985
1003,1002,1,18
1003,1368,0,1837
1003,1368,1,20
1003,1867,0,3026
1003,1867,1,36
1003,2548,0,2697
1003,2548,1,75
1003,3478,0,3408
1003,3478,1,195
1003,4747,0,2779
1003,4747,1,616
1003,6478,0,1791
1003,6478,1,1245
1003,8841,0,1668
1003,8841,1,1855
1003,12065,0,1878
1003,12065,1,4190
1003,16465,0,1791
1003,16465,1,5687
1003,22469,0,1998
1003,22469,1,8750
1003,30662,0,2175
1003,30662,1,13706
1003,41843,0,2151
1003,41843,1,18739
1003,57101,0,2622
1003,57101,1,28754
1003,77922,0,2685
1003,77922,1,36524
1003,106335,0,2866
1003,106335,1,58253
1003,145108,0,3222
1003,145108,1,82247
1003,198019,0,3767
1003,198019,1,108381
1003,270222,0,4194
1003,270222,1,155280
1003,368752,0,3538
1003,368752,1,218075
1003,502503,0,2734
1003,502503,1,330248
1103,1102,0,2420
1103,1102,1,22
1103,1102,0,3385
1103,1102,1,2
1103,1511,0,2361
1103,1511,1,47
1103,2072,0,2376
1103,2072,1,15
1103,2841,0,2126
1103,2841,1,111
1103,3896,0,2136
1103,3896,1,143
1103,5342,0,2085
1103,5342,1,316
1103,7325,0,2244
1103,7325,1,1716
1103,10044,0,2271
1103,10044,1,2638
1103,13772,0,2364
1103,13772,1,4209
1103,18884,0,2250
1103,18884,1,6578
1103,25893,0,2372
1103,25893,1,8743
1103,35503,0,2482
1103,35503,1,14466
1103,48680,0,2533
1103,48680,1,21224
1103,66747,0,2794
1103,66747,1,32947
1103,91519,0,2996
1103,91519,1,48292
1103,125485,0,3326
1103,125485,1,67639
1103,172056,0,3886
1103,172056,1,98799
1103,235911,0,4509
1103,235911,1,134968
1103,323464,0,5317
1103,323464,1,187891
1103,443510,0,4332
1103,443510,1,288177
1103,607753,0,3085
1103,607753,1,376200
1203,1202,0,5053
1203,1202,1,15
1203,1202,0,5082
1203,1202,1,17
1203,1656,0,5053
1203,1656,1,10
1203,2281,0,4974
1203,2281,1,46
1203,3142,0,4081
1203,3142,1,185
1203,4327,0,4837
1203,4327,1,105
1203,5959,0,2971
1203,5959,1,877
1203,8207,0,2744
1203,8207,1,1554
1203,11302,0,2615
1203,11302,1,2993
1203,15564,0,2792
1203,15564,1,4018
1203,21434,0,2860
1203,21434,1,7895
1203,29517,0,2728
1203,29517,1,11522
1203,40648,0,2659
1203,40648,1,18329
1203,55976,0,3255
1203,55976,1,25747
1203,77084,0,3246
