n,s,keyComparison,runtime
10000,40,184024,2056
10000,41,184024,2109
10000,42,184024,3107
10000,43,184024,2060
10000,44,184024,2065
10000,45,184024,2062
10000,46,184024,2101
10000,47,184024,3019
10000,48,184024,2362
10000,49,184024,2088
10000,50,184024,2040
10000,51,184024,2075
10000,52,184024,2153
10000,53,184024,2104
10000,54,184024,2022
10000,55,184024,2078
10000,56,184024,2052
10000,57,184024,2079
10000,58,184024,2062
10000,59,184024,2073
10000,60,184024,2059
10000,61,184024,2087
10000,62,184024,2079
10000,63,184024,2457
10000,64,184024,2046
10000,65,184024,2075
10000,66,184024,2046
10000,67,184024,2030
10000,68,184024,2669
10000,69,184024,2031
10000,70,184024,2823
10000,71,184024,2051
10000,72,184024,2150
10000,73,184024,2034
10000,74,184024,2066
10000,75,184024,2199
10000,76,184024,2064
10000,77,184024,2014
10000,78,259721,2963
10000,79,270525,2635
10000,80,270525,2621
10000,81,270525,2724
10000,82,270525,4108
10000,83,270525,2771
10000,84,270525,4068
10000,85,270525,2618
10000,86,270525,2794
10000,87,270525,2834
10000,88,270525,2600
10000,89,270525,4112
10000,90,270525,2629
10000,91,270525,2608
10000,92,270525,2728
10000,93,270525,2621
10000,94,270525,3928
10000,95,270525,2790
10000,96,270525,2655
10000,97,270525,2625
10000,98,270525,2616
10000,99,270525,2632
10000,1,120426,2384
10000,2,120426,2788
10000,3,120397,1884
10000,4,120467,2022
10000,5,121454,2099
10000,6,121454,1793
10000,7,121454,1796
10000,8,121454,1779
10000,9,122512,1820
10000,10,127040,1965
10000,11,127040,1984
10000,12,127040,1822
10000,13,127040,1784
10000,14,127040,1778
10000,15,127040,1766
10000,16,127040,2338
10000,17,127040,2529
10000,18,127040,1783
10000,19,134346,1799
10000,20,143512,2682
10000,21,143512,1859
10000,22,143512,1855
10000,23,143512,2614
10000,24,143512,1813
10000,25,143512,2515
10000,26,143512,1892
10000,27,143512,1880
10000,28,143512,1810
10000,29,143512,1801
10000,30,143512,1825
10000,31,143512,1856
10000,32,143512,2255
10000,33,143512,1855
10000,34,143512,1833
10000,35,143512,2622
10000,36,143512,1825
10000,37,143512,1924
10000,38,143512,1798
10000,39,180793,2021
10000,40,183467,2082
10000,41,183467,2063
10000,42,183467,2053
10000,43,183467,2059
10000,44,183467,2070
10000,45,183467,2025
10000,46,183467,2058
10000,47,183467,2150
10000,48,183467,2082
10000,49,183467,3008
10000,50,183467,3087
10000,51,183467,2054
10000,52,183467,2113
10000,53,183467,3049
10000,54,183467,2065
10000,55,183467,2060
10000,56,183467,2090
10000,57,183467,2037
10000,58,183467,2028
10000,59,183467,2027
10000,60,183467,2053
10000,61,183467,2172
10000,62,183467,2071
10000,63,183467,2061
10000,64,183467,2501
10000,65,183467,2061
10000,66,183467,2086
10000,67,183467,2083
10000,68,183467,2069
10000,69,183467,2041
10000,70,183467,2067
10000,71,183467,2098
10000,72,183467,2946
10000,73,183467,2021
10000,74,183467,2075
10000,75,183467,2823
10000,76,183467,3006
10000,77,183467,2083
10000,78,258564,3022
10000,79,269634,2645
10000,80,269634,2593
10000,81,269634,2600
10000,82,269634,2594
10000,83,269634,2595
10000,84,269634,2673
10000,85,269634,2602
10000,86,269634,2939
10000,87,269634,2625
10000,88,269634,2954
10000,89,269634,4027
10000,90,269634,4044
10000,91,269634,2589
10000,92,269634,2642
10000,93,269634,4120
10000,94,269634,3636
10000,95,269634,2606
10000,96,269634,2581
10000,97,269634,4021
10000,98,269634,2604
10000,99,269634,2690
100000,1,1536138,26350
100000,2,1536138,25996
100000,3,1536147,23444
100000,4,1536577,23675
100000,5,1536577,23323
100000,6,1554656,22860
100000,7,1558026,22917
100000,8,1558026,22813
100000,9,1558026,23587
100000,10,1558026,22853
100000,11,1558026,22440
100000,12,1619669,12653
100000,13,1639122,11439
100000,14,1639122,11445
100000,15,1639122,11300
100000,16,1639122,11537
100000,17,1639122,11403
100000,18,1639122,11544
100000,19,1639122,11569
100000,20,1639122,11389
100000,21,1639122,11288
100000,22,1639122,11748
100000,23,1639122,11378
100000,24,1764877,11652
100000,25,1862016,11813
100000,26,1862016,11902
100000,27,1862016,11895
100000,28,1862016,11915
100000,29,1862016,12107
100000,30,1862016,11710
100000,31,1862016,11973
100000,32,1862016,11816
100000,33,1862016,11994
100000,34,1862016,12002
100000,35,1862016,11785
100000,36,1862016,11947
100000,37,1862016,11840
100000,38,1862016,13447
100000,39,1862016,11996
100000,40,1862016,12553
100000,41,1862016,11777
100000,42,1862016,11961
100000,43,1862016,11889
100000,44,1862016,11963
100000,45,1862016,12069
100000,46,1862016,11816
100000,47,1862016,12022
100000,48,1948787,12090
100000,49,2381164,13452
100000,50,2381164,13409
100000,51,2381164,13431
100000,52,2381164,13308
100000,53,2381164,13577
100000,54,2381164,13340
100000,55,2381164,13404
100000,56,2381164,13502
100000,57,2381164,13470
100000,58,2381164,13545
100000,59,2381164,14646
100000,60,2381164,13539
100000,61,2381164,13326
100000,62,2381164,13419
100000,63,2381164,13542
100000,64,2381164,13553
100000,65,2381164,13321
100000,66,2381164,13621
100000,67,2381164,13442
100000,68,2381164,13492
100000,69,2381164,13319
100000,70,2381164,13506
100000,71,2381164,13445
100000,72,2381164,13664
100000,73,2381164,13344
100000,74,2381164,13407
100000,75,2381164,13381
100000,76,2381164,13421
100000,77,2381164,15287
100000,78,2381164,13627
100000,79,2381164,13529
100000,80,2381164,13374
100000,81,2381164,13624
100000,82,2381164,13491
100000,83,2381164,13365
100000,84,2381164,13417
100000,85,2381164,13579
100000,86,2381164,13408
100000,87,2381164,13504
100000,88,2381164,13567
100000,89,2381164,13499
100000,90,2381164,13487
100000,91,2381164,13476
100000,92,2381164,13427
100000,93,2381164,13624
100000,94,2381164,13505
100000,95,2381164,13648
100000,96,2381164,13507
100000,97,2763978,14737
100000,98,3508951,17438
100000,99,3508951,17246
100000,1,1536283,14169
100000,2,1536283,12837
100000,3,1536143,13037
100000,4,1536551,11988
100000,5,1536551,12203
100000,6,1554842,11541
100000,7,1558131,11509
100000,8,1558131,11415
100000,9,1558131,11476
100000,10,1558131,11694
100000,11,1558131,11552
100000,12,1620835,11698
100000,13,1640442,11237
